def_id,study1_image_id,study2_image_id_black,study2_image_id_white
8924, BM-001, BM-001, WM-003
9231, WM-012, BM-018, WM-013
9242, WM-018, BM-021, WM-023
9328, empty, BF-027, WF-026
9336, BM-016, BM-002, WM-004
9352, WM-001, BM-009, WM-001
9399, LM-226, BM-025, WM-201
9467, BM-015, BM-001, WM-003
9586, BF-001, BF-001, WF-001
9609, LF-200, BF-010, WF-018
9686, BM-024, BM-010, WM-010
9820, BM-022, BM-020, WM-014
9919, BM-004, BM-017, WM-012
9933, BM-010, BM-010, WM-010
10137, BM-017, BM-011, WM-011
10150, BM-023, BM-005, WM-009
10591, WM-023, BM-012, WM-018
10700, BM-012, BM-021, WM-023
10709, empty,NA,NA
10958, WF-221, BF-211, WF-237
115, BF-001, BF-001, WF-001
1044, BM-025, BM-025, WM-201
1059, BM-023, BM-003, WM-006
1130, WM-002, BM-011, WM-011
1160, BF-003, BF-001, WF-001
1870, BM-036, BM-037, WM-025
2006, BM-002, BM-002, WM-004
2020, LM-200, BM-005, WM-009
2156, WM-023, BM-206, WM-258
2195, BM-005, BM-013, WM-015
2502, LM-215, BM-025, WM-201
2533, WM-001, BM-036, WM-024
2586, WM-201, BM-021, WM-023
2737, BM-003, BM-003, WM-006
2790, WM-220, BM-033, WM-220
2901, BM-001, BM-001, WM-003
3145, BM-011, BM-017, WM-012
3309, WM-004, BM-015, WM-017
3322, BM-024, BM-005, WM-009
3602, BM-018, BM-011, WM-011
3863, WM-006, BM-023, WM-028
4122, WF-001, BF-003, WF-003
4342, BM-010, BM-016, WM-019
4444, WF-003, BF-004, WF-005
4724, empty,NA,NA
4996, WM-003, BM-010, WM-010
5307, BM-021, BM-021, WM-023
5433, BF-002, BF-002, WF-022
5543, WM-018, BM-044, WM-225
5882, BM-033, BM-033, WM-220
6096, BM-009, BM-009, WM-001
6129, BM-015, BM-024, WM-031
6170, BM-017, BM-004, WM-002
6251, BM-020, BM-017, WM-012
6377, WM-010, BM-001, WM-003
6586, WF-237, BF-211, WF-237
7003, empty,NA,NA
7258, BM-016, BM-026, WM-032
7457, BM-013, BM-019, WM-026
7602, BM-004, BM-004, WM-002
7636, BF-024, BF-024, WF-014
7958, empty,NA,NA
9357, BM-044, BM-012, WM-018
9617, BM-019, BM-002, WM-004
9833, empty,NA,NA
10076, BM-037, BM-201, WM-035
10319, BM-012, BM-012, WM-018
10327, WM-009, BM-027, WM-033
10401, WF-221, BF-203, WF-221
10706, BM-206, BM-044, WM-225
206, WF-002, BF-007, WF-002
