def_id,study1_image_id,study2_image_id_black,study2_image_id_white
9072, BM-012, BM-012, WM-018
9106, WF-002, BF-007, WF-002
9506, BM-010, BM-003, WM-006
9632, WM-221, BM-034, WM-221
9914, WM-004, BM-005, WM-009
9942, LM-203, BM-212, WM-223
10626, WM-249, BM-218, WM-249
10659, BM-017, BM-018, WM-013
156, WM-003, BM-001, WM-003
222, WF-014, BF-024, WF-014
446, BF-002, BF-002, WF-022
1004, LM-206, BM-002, WM-004
1153, WF-022, BF-013, WF-027
1329, WM-010, BM-010, WM-010
1526, BM-025, BM-021, WM-023
1562, LM-200, BM-001, WM-003
1795, LF-201, BF-001, WF-001
2153, BM-002, BM-010, WM-010
2211, BM-005, BM-015, WM-017
2410, LF-200, BF-007, WF-002
2448, BM-036, BM-037, WM-025
2514, BM-004, BM-011, WM-011
2618, BM-020, BM-017, WM-012
2767, empty,NA,NA
2772, BM-015, BM-005, WM-009
2820, empty,NA,NA
2930, BM-017, BM-004, WM-002
3229, WM-004, BM-002, WM-004
3444, WM-023, BM-033, WM-220
3676, BM-212, BM-212, WM-223
3941, WM-018, BM-025, WM-201
4421, BF-203, BF-203, WF-221
4596, BM-034, BM-034, WM-221
4634, WM-009, BM-003, WM-006
5123, BM-018, BM-011, WM-011
5349, WM-001, BM-009, WM-001
5515, BM-012, BM-012, WM-018
5818, BM-013, BM-019, WM-026
6056, WM-002, BM-004, WM-002
6606, BM-021, BM-012, WM-018
6818, WF-221, BF-203, WF-221
6911, LM-207, BM-009, WM-001
6939, empty,NA,NA
7455, BM-010, BM-016, WM-019
7615, BM-011, BM-018, WM-013
8191, BM-037, BM-036, WM-024
8416, BF-001, BF-001, WF-001
8703, empty,NA,NA
8747, WM-006, BM-005, WM-009
8970, empty,NA,NA
9170, WM-221, BM-034, WM-221
9662, empty,NA,NA
10010, BM-009, BM-036, WM-024
10536, BM-001, BM-003, WM-006
10577, empty,NA,NA
10851, BF-007, BF-007, WF-002
10920, WM-011, BM-017, WM-012
10997, BM-003, BM-013, WM-015
154, WF-026, BF-024, WF-014
319, empty,NA,NA
364, BM-016, BM-023, WM-028
400, BF-001, BF-001, WF-001
947, WF-001, BF-001, WF-001
1397, empty,NA,NA
1553, LM-203, BM-212, WM-223
2053, BM-001, BM-001, WM-003
2149, BM-020, BM-004, WM-002
2206, BM-022, BM-011, WM-011
2216, BM-012, BM-021, WM-023
2515, BM-019, BM-002, WM-004
2613, WM-221, BM-034, WM-221
2723, BM-002, BM-002, WM-004
2794, WM-003, BM-016, WM-019
2843, WM-201, BM-021, WM-023
2943, WM-220, BM-025, WM-201
3847, BM-005, BM-010, WM-010
4164, WF-014, BF-024, WF-014
4368, LM-200, BM-005, WM-009
4719, WM-002, BM-017, WM-012
4820, empty,NA,NA
4971, BM-009, BM-009, WM-001
5646, BM-023, BM-013, WM-015
5801, WM-223, BM-034, WM-221
6537, WM-009, BM-005, WM-009
6766, BM-004, BM-004, WM-002
6963, WF-221, BF-203, WF-221
7269, empty,NA,NA
7411, BM-018, BM-020, WM-014
7930, WM-004, BM-001, WM-003
8041, LM-206, BM-010, WM-010
8111, BM-024, BM-015, WM-017
8205, WM-018, BM-012, WM-018
8358, BF-002, BF-002, WF-022
8501, BM-011, BM-011, WM-011
8518, BM-036, BM-009, WM-001
8641, empty,NA,NA
8832, BM-013, BM-015, WM-017
9216, empty,NA,NA
9219, BM-003, BM-003, WM-006
9235, empty,NA,NA
9277, BF-003, BF-003, WF-003
9283, WM-023, BM-012, WM-018
9636, BM-032, BM-018, WM-013
9868, BM-029, BM-017, WM-012
10645, BM-017, BM-018, WM-013
10841, BM-010, BM-013, WM-015
10899, WM-006, BM-003, WM-006
10946, BM-015, BM-019, WM-026
101, LM-215, BM-021, WM-023
320, BM-021, BM-025, WM-201
787, LM-201, BM-004, WM-002
837, WM-248, BM-213, WM-248
1146, BM-001, BM-002, WM-004
1240, BM-022, BM-011, WM-011
1343, LM-200, BM-001, WM-003
1532, empty,NA,NA
1576, BM-012, BM-012, WM-018
2076, BM-018, BM-018, WM-013
2100, WM-023, BM-021, WM-023
2128, BM-024, BM-023, WM-028
2329, BM-002, BM-005, WM-009
2504, WM-010, BM-016, WM-019
2589, LF-200, BF-007, WF-002
2809, BM-010, BM-015, WM-017
3019, WM-249, BM-034, WM-221
3656, BM-016, BM-003, WM-006
3751, BM-025, BM-033, WM-220
3788, WM-018, BM-044, WM-225
4692, WM-223, BM-212, WM-223
4833, WM-004, BM-005, WM-009
5177, LM-228, BM-044, WM-225
5669, BM-004, BM-004, WM-002
5754, BM-020, BM-020, WM-014
5760, WM-201, BM-025, WM-201
5825, BM-013, BM-001, WM-003
6094, WM-002, BM-022, WM-016
6267, WF-221, BF-203, WF-221
6389, WF-002, BF-009, WF-008
6420, BM-019, BM-013, WM-015
6744, BM-015, BM-002, WM-004
6805, BM-003, BM-010, WM-010
7084, WF-001, BF-001, WF-001
7231, BM-033, BM-012, WM-018
7298, BF-024, BF-024, WF-014
7334, BM-023, BM-019, WM-026
7631, WM-006, BM-010, WM-010
8149, WM-009, BM-015, WM-017
8530, LM-226, BM-033, WM-220
9221, WM-003, BM-003, WM-006
10277, BM-011, BM-011, WM-011
10302, empty,NA,NA
10334, BM-009, BM-009, WM-001
10336, BM-017, BM-017, WM-012
10383, BM-005, BM-013, WM-015
10412, WM-221, BM-034, WM-221
10544, empty,NA,NA
10673, BF-007, BF-007, WF-002
10699, empty,NA,NA
173, BM-017, BM-020, WM-014
203, BF-004, BF-004, WF-005
1215, empty,NA,NA
1216, WM-010, BM-016, WM-019
1283, BM-009, BM-009, WM-001
1331, BM-002, BM-003, WM-006
1670, BM-019, BM-015, WM-017
2310, BM-003, BM-010, WM-010
2507, BM-015, BM-010, WM-010
2934, BM-016, BM-013, WM-015
3205, WM-221, BM-213, WM-248
3236, BM-020, BM-011, WM-011
3273, BM-036, BM-036, WM-024
3285, BM-034, BM-212, WM-223
3511, WM-003, BM-002, WM-004
3679, WF-221, BF-203, WF-221
3869, BM-005, BM-013, WM-015
3919, AM-215, BM-034, WM-221
4536, WF-026, BF-024, WF-014
4553, LM-202, BM-017, WM-012
4774, empty,NA,NA
4809, WF-014, BF-024, WF-014
5001, BM-023, BM-019, WM-026
5103, LM-201, BM-018, WM-013
5297, BF-007, BF-007, WF-002
5877, BM-018, BM-004, WM-002
5997, WM-006, BM-003, WM-006
6315, BM-011, BM-017, WM-012
6391, BM-013, BM-002, WM-004
6788, empty,NA,NA
7023, WM-004, BM-005, WM-009
7153, BM-037, BM-009, WM-001
7722, BF-005, BF-001, WF-001
7923, empty,NA,NA
7945, WM-017, BM-026, WM-032
7975, WM-015, BM-024, WM-031
8207, WM-002, BM-004, WM-002
8876, BM-022, BM-018, WM-013
9165, BM-010, BM-001, WM-003
9337, WM-201, BM-025, WM-201
9442, BM-001, BM-001, WM-003
9473, BM-012, BM-012, WM-018
9581, BF-003, BF-003, WF-003
9875, BM-004, BM-011, WM-011
10012, BF-001, BF-001, WF-001
10068, WM-009, BM-005, WM-009
10289, WM-023, BM-021, WM-023
10377, WM-018, BM-012, WM-018
10394, BM-029, BM-020, WM-014
10720, BM-024, BM-023, WM-028
