Target,Race,Gender,Age
BM-010,B,M,22.26595745
BM-011,B,M,29.02173913
BM-012,B,M,36.21428571
BM-013,B,M,22.97752809
BM-015,B,M,27.86021505
BM-016,B,M,24.72043011
BM-017,B,M,32.8172043
BM-018,B,M,28.79591837
BM-019,B,M,21.61363636
BM-020,B,M,35.29069767
BM-021,B,M,36.88947368
BM-022,B,M,33.10989011
BM-023,B,M,23.17021277
BM-024,B,M,21.64583333
BM-025,B,M,37.61979167
BM-026,B,M,26.98924731
BM-027,B,M,24.14814815
BM-028,B,M,24.36170213
BM-029,B,M,29.84615385
BM-030,B,M,25.26041667
BM-031,B,M,23.26966292
BM-032,B,M,34.54494382
BM-033,B,M,39.05154639
BM-034,B,M,40.60989011
BM-036,B,M,20.86206897
BM-037,B,M,20.88888889
BM-038,B,M,35.37078652
BM-039,B,M,24.8311828
BM-040,B,M,26.95238095
BM-041,B,M,30.42352941
BM-043,B,M,24.71910112
BM-044,B,M,36.63043478
BM-045,B,M,21.57777778
BM-046,B,M,22.05617978
BM-200,B,M,26.48148148
BM-201,B,M,18.26923077
BM-202,B,M,29.66666667
BM-203,B,M,27.34615385
BM-204,B,M,25.13793103
BM-205,B,M,27.56
BM-206,B,M,36.81481481
BM-207,B,M,23.92857143
BM-208,B,M,29.6
BM-209,B,M,36.46428571
BM-210,B,M,29.22580645
BM-211,B,M,31.51851852
BM-212,B,M,41.26086957
BM-213,B,M,40.36
BM-214,B,M,27.37037037
BM-215,B,M,22.42307692
BM-216,B,M,29.53846154
BM-217,B,M,24.65517241
BM-218,B,M,41
BM-219,B,M,24.22222222
BM-221,B,M,36.54166667
BM-222,B,M,35.8
BM-223,B,M,33.57142857
BM-224,B,M,36.48275862
BM-225,B,M,47.32142857
BM-226,B,M,21.77777778
BM-227,B,M,24.51851852
BM-228,B,M,38.76923077
BM-229,B,M,27.68965517
BM-230,B,M,37.57692308
BM-231,B,M,32.42307692
BM-232,B,M,31.32
BM-233,B,M,37.36
BM-234,B,M,36.07407407
BM-235,B,M,28.68965517
BM-236,B,M,38.35714286
BM-237,B,M,25.96153846
BM-238,B,M,24.48148148
BM-239,B,M,20.07692308
BM-240,B,M,24.66666667
BM-241,B,M,33.61538462
BM-242,B,M,31.52
BM-243,B,M,41.125
BM-244,B,M,46.58333333
BM-245,B,M,43.73913043
BM-246,B,M,27.20833333
BM-247,B,M,21.64
BM-248,B,M,20.38461538
BM-249,B,M,19.07407407
BM-250,B,M,34.93103448
BM-251,B,M,32.96551724
BM-252,B,M,37.11538462
BM-253,B,M,31.875
LF-200,L,F,28.79166667
LF-201,L,F,27.2
LF-202,L,F,29.85185185
LF-203,L,F,23.37037037
LF-204,L,F,32.14814815
LF-205,L,F,32
LF-206,L,F,26.23076923
LF-207,L,F,26.10714286
